name,testers,averageRating,rankingStDev,mapLink
Tempted by the Oriq,4,2.45,0.6184658438426491,/resources/cube-map/?cube=j9&cube=f47&cube=b8
Elite Spellbinder,139,2.410071942446043,0.4358560524088276,/resources/cube-map/?cube=bsk&cube=yn4&cube=jq&cube=5ar&cube=yo0&cube=djg&cube=j9&cube=v3v&cube=1g&cube=6rc&cube=4ij&cube=uzu&cube=t7&cube=gll&cube=4qw&cube=1w1&cube=1ou&cube=gf7&cube=8dt&cube=7x&cube=7yt&cube=95m&cube=rpx&cube=8n&cube=wt5&cube=3am&cube=7yk&cube=1so&cube=74x&cube=amh&cube=91q&cube=t1i&cube=di1&cube=2ag&cube=1uy&cube=k4a&cube=1vv&cube=4gr&cube=k8&cube=hm4&cube=l9i&cube=kap&cube=1zl&cube=riz&cube=2lp&cube=2le&cube=kk7&cube=uaf&cube=sps&cube=m78&cube=69&cube=7b&cube=1b0&cube=6t1&cube=lf&cube=7c&cube=7g&cube=1qx&cube=k5a&cube=um4&cube=85d&cube=9s&cube=196&cube=bq7&cube=25y&cube=6ul&cube=9od&cube=ju&cube=18x&cube=1hs&cube=qlo&cube=bir&cube=1uj&cube=5nq&cube=uxz&cube=bt&cube=24c&cube=1mk&cube=bw0&cube=mc&cube=1s&cube=q8&cube=dre&cube=gi7&cube=og8&cube=qk2&cube=6r2&cube=opp&cube=2b1&cube=1bh&cube=78g&cube=160&cube=6f
"Killian, Ink Duelist",11,2.409090909090909,0.5160242162297591,/resources/cube-map/?cube=yo0&cube=t7&cube=wt5&cube=1so&cube=m78&cube=or&cube=u86&cube=1hs
Prismari Command,130,2.4007692307692303,0.45140739809317953,/resources/cube-map/?cube=bsk&cube=yn4&cube=jq&cube=yo0&cube=djg&cube=j9&cube=v3v&cube=5xj&cube=nw&cube=1g&cube=4ij&cube=9&cube=baq&cube=lv1&cube=pn9&cube=t7&cube=gll&cube=4qw&cube=1w1&cube=wov&cube=gf7&cube=mi&cube=8dt&cube=2cf&cube=7x&cube=7yt&cube=95m&cube=rpx&cube=8n&cube=3am&cube=7yk&cube=74x&cube=91q&cube=f47&cube=wf&cube=t1i&cube=1uy&cube=kq&cube=k4a&cube=b8&cube=k8&cube=413&cube=hm4&cube=l9i&cube=kap&cube=c4p&cube=1zl&cube=riz&cube=1su&cube=92t&cube=m78&cube=7b&cube=1b0&cube=6t1&cube=7c&cube=or&cube=1qx&cube=um4&cube=vc&cube=85d&cube=6si&cube=9s&cube=196&cube=bq7&cube=hy2&cube=ju&cube=18x&cube=19s&cube=bir&cube=3ou&cube=1uj&cube=5nq&cube=uxz&cube=24c&cube=bw0&cube=dhi&cube=mc&cube=me&cube=cux&cube=1s&cube=2j0&cube=q8&cube=dre&cube=qk2&cube=6r2&cube=opp&cube=78g&cube=6f
Witherbloom Pledgemage,2,2.4,0.6,/resources/cube-map/?cube=jvu
Prismari Campus,2,2.4,0.3999999999999999,/resources/cube-map/?cube=3gh
Thrilling Discovery,2,2.4,0.6,/resources/cube-map/?cube=uaf
Vanishing Verse,86,2.3813953488372084,0.5713125703164796,/resources/cube-map/?cube=ckt&cube=bsk&cube=yo0&cube=djg&cube=j9&cube=v3v&cube=nw&cube=1g&cube=6rc&cube=9&cube=baq&cube=uzu&cube=t7&cube=gll&cube=4qw&cube=wov&cube=1ou&cube=8dt&cube=7yt&cube=rpx&cube=wt5&cube=3am&cube=7yk&cube=74x&cube=91q&cube=t1i&cube=2ag&cube=1uy&cube=k4a&cube=b8&cube=413&cube=hm4&cube=l9i&cube=kap&cube=1zl&cube=riz&cube=1su&cube=uaf&cube=1b0&cube=6t1&cube=7c&cube=7g&cube=k5a&cube=um4&cube=ljv&cube=vc&cube=25y&cube=9od&cube=ju&cube=18x&cube=1hs&cube=bir&cube=1uj&cube=5nq&cube=bt&cube=24c&cube=dre&cube=6r2&cube=opp&cube=1bh&cube=78g&cube=6f
Draconic Intervention,4,2.375,0.44930501889028573,/resources/cube-map/?cube=wt5&cube=c4p&cube=uaf&cube=m78
Manifestation Sage,5,2.3600000000000003,0.4223742416388575,/resources/cube-map/?cube=uzu&cube=jvu&cube=7g
Rip Apart,105,2.358095238095238,0.4766512056861768,/resources/cube-map/?cube=bsk&cube=yo0&cube=djg&cube=j9&cube=v3v&cube=5xj&cube=nw&cube=9&cube=baq&cube=uzu&cube=lv1&cube=pn9&cube=t7&cube=gll&cube=4qw&cube=wov&cube=1ou&cube=gf7&cube=mi&cube=8dt&cube=2cf&cube=7yt&cube=sc3&cube=rpx&cube=8n&cube=3am&cube=7yk&cube=74x&cube=amh&cube=wf&cube=t1i&cube=2ag&cube=1uy&cube=k4a&cube=1vv&cube=b8&cube=k8&cube=413&cube=l9i&cube=1zl&cube=riz&cube=1su&cube=92t&cube=uaf&cube=sps&cube=7b&cube=1b0&cube=lf&cube=7g&cube=k5a&cube=um4&cube=vc&cube=85d&cube=6ul&cube=9od&cube=ju&cube=18x&cube=19s&cube=qlo&cube=bir&cube=1uj&cube=5nq&cube=uxz&cube=bt&cube=dhi&cube=mc&cube=me&cube=cux&cube=2j0&cube=dre&cube=qk2&cube=opp&cube=1bh&cube=78g&cube=6f
Baleful Mastery,120,2.355833333333334,0.5087232111429119,/resources/cube-map/?cube=bsk&cube=yn4&cube=yo0&cube=djg&cube=v3v&cube=1g&cube=6rc&cube=4ij&cube=uzu&cube=lv1&cube=t7&cube=gll&cube=4qw&cube=1w1&cube=gf7&cube=mi&cube=7yt&cube=sc3&cube=95m&cube=rpx&cube=8n&cube=3am&cube=7yk&cube=91q&cube=f47&cube=wf&cube=t1i&cube=di1&cube=2ag&cube=1uy&cube=k4a&cube=1vv&cube=413&cube=l9i&cube=kap&cube=c4p&cube=1zl&cube=riz&cube=1su&cube=92t&cube=uaf&cube=sps&cube=m78&cube=69&cube=7b&cube=1b0&cube=6t1&cube=lf&cube=7c&cube=or&cube=1qx&cube=um4&cube=vc&cube=85d&cube=6si&cube=9s&cube=196&cube=bq7&cube=hy2&cube=6ul&cube=9od&cube=ju&cube=18x&cube=19s&cube=bir&cube=3ou&cube=1uj&cube=5nq&cube=bt&cube=24c&cube=bw0&cube=dhi&cube=mc&cube=cux&cube=1s&cube=dre&cube=6r2&cube=opp&cube=2b1&cube=1bh&cube=78g&cube=6f
Pop Quiz,3,2.3333333333333335,0.47842333648024415,/resources/cube-map/?cube=1hs&cube=6r2
Quandrix Pledgemage,3,2.3333333333333335,0.9428090415820634,/resources/cube-map/?cube=92t&cube=jvu
Introduction to Prophecy,3,2.3333333333333335,0.23570226039551584,/resources/cube-map/?cube=jvu&cube=1hs
Daemogoth Woe-Eater,6,2.3333333333333335,0.4109609335312651,/resources/cube-map/?cube=wt5&cube=1so&cube=f47&cube=6ul
Mascot Exhibition,3,2.3333333333333335,0.23570226039551584,/resources/cube-map/?cube=jvu&cube=1hs
Shadrix Silverquill,6,2.316666666666667,0.6841458583924598,/resources/cube-map/?cube=k70&cube=f47&cube=hm4&cube=uaf&cube=1hs
"Quintorius, Field Historian",3,2.3000000000000003,0.21602468994692867,/resources/cube-map/?cube=c4p
Pest Summoning,2,2.3,0.7,/resources/cube-map/?cube=jvu
Sedgemoor Witch,142,2.2943661971830984,0.4534336369114244,/resources/cube-map/?cube=bsk&cube=yn4&cube=jq&cube=5ar&cube=yo0&cube=djg&cube=j9&cube=v3v&cube=5xj&cube=6rc&cube=4ij&cube=9&cube=baq&cube=uzu&cube=lv1&cube=t7&cube=gll&cube=4qw&cube=wov&cube=1ou&cube=gf7&cube=mi&cube=7x&cube=7yt&cube=sc3&cube=95m&cube=rpx&cube=8n&cube=wt5&cube=3am&cube=7yk&cube=1so&cube=74x&cube=amh&cube=91q&cube=f47&cube=wf&cube=2ag&cube=1uy&cube=k4a&cube=1vv&cube=b8&cube=k8&cube=413&cube=hm4&cube=l9i&cube=kap&cube=1zl&cube=riz&cube=1su&cube=92t&cube=2le&cube=uaf&cube=m78&cube=69&cube=7b&cube=1b0&cube=6t1&cube=7c&cube=7g&cube=or&cube=1qx&cube=um4&cube=vc&cube=u86&cube=6si&cube=196&cube=bq7&cube=9p1&cube=25y&cube=6ul&cube=9od&cube=ju&cube=18x&cube=19s&cube=1hs&cube=bir&cube=1uj&cube=5nq&cube=uxz&cube=bt&cube=24c&cube=1mk&cube=bw0&cube=dhi&cube=mc&cube=me&cube=cux&cube=1s&cube=dre&cube=qk2&cube=opp&cube=2b1&cube=1bh&cube=78g&cube=7rs&cube=160&cube=6f
Decisive Denial,19,2.2736842105263158,0.537873106991209,/resources/cube-map/?cube=yo0&cube=j9&cube=5xj&cube=baq&cube=1ou&cube=1so&cube=92t&cube=uaf&cube=or&cube=k5a&cube=u86&cube=bq7&cube=1hs&cube=qk2
Symmetry Sage,12,2.2583333333333333,0.6061605031306111,/resources/cube-map/?cube=5ar&cube=j9&cube=5xj&cube=9&cube=4qw&cube=or&cube=u86&cube=6ul
Gnarled Professor,4,2.25,0.4330127018922193,/resources/cube-map/?cube=95m&cube=4gr&cube=1hs&cube=6r2
Fractal Summoning,2,2.25,0.75,/resources/cube-map/?cube=jvu&cube=1hs
Wandering Archaic // Explore the Vastlands,9,2.2444444444444445,0.5251689910265099,/resources/cube-map/?cube=1so&cube=f47&cube=lcq&cube=1s&cube=2j0&cube=160
Containment Breach,3,2.2333333333333334,0.5249338582674541,/resources/cube-map/?cube=1hs
Witherbloom Command,40,2.2075000000000005,0.5173912929302154,/resources/cube-map/?cube=bsk&cube=yo0&cube=j9&cube=5xj&cube=9&cube=uzu&cube=t7&cube=4qw&cube=1w1&cube=wov&cube=7x&cube=sc3&cube=wt5&cube=3am&cube=7yk&cube=t1i&cube=kq&cube=1vv&cube=b8&cube=k8&cube=l9i&cube=92t&cube=6t1&cube=or&cube=85d&cube=6si&cube=bt&cube=24c&cube=6f
Bayou Groff,1,2.2,0.0,/resources/cube-map/?cube=yo0
Moldering Karok,1,2.2,0.0,/resources/cube-map/?cube=
Clever Lumimancer,21,2.2,0.7010196655077312,/resources/cube-map/?cube=5ar&cube=yo0&cube=j9&cube=5xj&cube=9&cube=gll&cube=4qw&cube=wov&cube=8dt&cube=sc3&cube=wt5&cube=b8&cube=u86&cube=6f
Make Your Mark,5,2.2,0.7483314773547882,/resources/cube-map/?cube=jvu&cube=u86&cube=6ul&cube=7rs
Culmination of Studies,2,2.2,0.8,/resources/cube-map/?cube=yo0&cube=f47
Biblioplex Assistant,1,2.2,0.0,/resources/cube-map/?cube=7u
Igneous Inspiration,3,2.1999999999999997,0.5887840577551898,/resources/cube-map/?cube=kk7&cube=1hs
Quandrix Command,40,2.1900000000000004,0.47053161424074363,/resources/cube-map/?cube=ckt&cube=bsk&cube=jq&cube=yo0&cube=j9&cube=5xj&cube=1g&cube=4ij&cube=9&cube=uzu&cube=t7&cube=4qw&cube=1w1&cube=wov&cube=1ou&cube=7yk&cube=f47&cube=k8&cube=92t&cube=69&cube=1b0&cube=6t1&cube=or&cube=1qx&cube=um4&cube=19s&cube=1hs&cube=bt&cube=256&cube=bw0&cube=6f
Frostboil Snarl,5,2.18,0.41182520563948005,/resources/cube-map/?cube=yo0&cube=7u&cube=1vv&cube=hm4&cube=uaf
Beledros Witherbloom,5,2.18,0.6852736679604726,/resources/cube-map/?cube=1g&cube=lcq&cube=uaf
Dramatic Finale,4,2.175,0.49180788932265,/resources/cube-map/?cube=jvu&cube=j15&cube=7rs
